Question,Option A,Option B,Option C,Option D,Answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,Mars
Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,J.K. Rowling,Mark Twain,William Shakespeare
What is the largest mammal?,Elephant,Blue Whale,Giraffe,Hippopotamus,Blue Whale
Which element has the chemical symbol 'O'?,Gold,Oxygen,Osmium,Iron,Oxygen
Sample Question 6?,Option A,Option B,Option C,Option D,Option A
Sample Question 7?,Option A,Option B,Option C,Option D,Option A
Sample Question 8?,Option A,Option B,Option C,Option D,Option A
Sample Question 9?,Option A,Option B,Option C,Option D,Option A
Sample Question 10?,Option A,Option B,Option C,Option D,Option A
Sample Question 11?,Option A,Option B,Option C,Option D,Option A
Sample Question 12?,Option A,Option B,Option C,Option D,Option A
Sample Question 13?,Option A,Option B,Option C,Option D,Option A
Sample Question 14?,Option A,Option B,Option C,Option D,Option A
Sample Question 15?,Option A,Option B,Option C,Option D,Option A
Sample Question 16?,Option A,Option B,Option C,Option D,Option A
Sample Question 17?,Option A,Option B,Option C,Option D,Option A
Sample Question 18?,Option A,Option B,Option C,Option D,Option A
Sample Question 19?,Option A,Option B,Option C,Option D,Option A
Sample Question 20?,Option A,Option B,Option C,Option D,Option A
Sample Question 21?,Option A,Option B,Option C,Option D,Option A
Sample Question 22?,Option A,Option B,Option C,Option D,Option A
Sample Question 23?,Option A,Option B,Option C,Option D,Option A
Sample Question 24?,Option A,Option B,Option C,Option D,Option A
Sample Question 25?,Option A,Option B,Option C,Option D,Option A
Sample Question 26?,Option A,Option B,Option C,Option D,Option A
Sample Question 27?,Option A,Option B,Option C,Option D,Option A
Sample Question 28?,Option A,Option B,Option C,Option D,Option A
Sample Question 29?,Option A,Option B,Option C,Option D,Option A
Sample Question 30?,Option A,Option B,Option C,Option D,Option A
Sample Question 31?,Option A,Option B,Option C,Option D,Option A
Sample Question 32?,Option A,Option B,Option C,Option D,Option A
Sample Question 33?,Option A,Option B,Option C,Option D,Option A
Sample Question 34?,Option A,Option B,Option C,Option D,Option A
Sample Question 35?,Option A,Option B,Option C,Option D,Option A
Sample Question 36?,Option A,Option B,Option C,Option D,Option A
Sample Question 37?,Option A,Option B,Option C,Option D,Option A
Sample Question 38?,Option A,Option B,Option C,Option D,Option A
Sample Question 39?,Option A,Option B,Option C,Option D,Option A
Sample Question 40?,Option A,Option B,Option C,Option D,Option A
Sample Question 41?,Option A,Option B,Option C,Option D,Option A
Sample Question 42?,Option A,Option B,Option C,Option D,Option A
Sample Question 43?,Option A,Option B,Option C,Option D,Option A
Sample Question 44?,Option A,Option B,Option C,Option D,Option A
Sample Question 45?,Option A,Option B,Option C,Option D,Option A
Sample Question 46?,Option A,Option B,Option C,Option D,Option A
Sample Question 47?,Option A,Option B,Option C,Option D,Option A
Sample Question 48?,Option A,Option B,Option C,Option D,Option A
Sample Question 49?,Option A,Option B,Option C,Option D,Option A
Sample Question 50?,Option A,Option B,Option C,Option D,Option A
